Lightwright ID,Channel,Position,Unit#,Instrument Type,Purpose,Address,Position Order
78D4DC:538:10:39:Vecto,1,FOH TRUSS,21,MAC ULTRA PERFORMANCE,PROFILE MOVER,1/1,2
3C29F3:583:10:39:Vecto,2,FOH TRUSS,18,MAC ULTRA PERFORMANCE,PROFILE MOVER,1/49,2
2E435F:5CE:10:39:Vecto,3,FOH TRUSS,15,MAC ULTRA PERFORMANCE,PROFILE MOVER,1/97,2
485D19:72C:10:39:Vecto,4,FOH TRUSS,12,MAC ULTRA PERFORMANCE,PROFILE MOVER,1/145,2
16D2BA:6E1:10:39:Vecto,5,FOH TRUSS,9,MAC ULTRA PERFORMANCE,PROFILE MOVER,1/193,2
519B52:696:10:39:Vecto,6,FOH TRUSS,6,MAC ULTRA PERFORMANCE,PROFILE MOVER,1/241,2
D3465:64B:10:39:Vecto,7,FOH TRUSS,3,MAC ULTRA PERFORMANCE,PROFILE MOVER,1/289,2
56CA77:C0E:10:3A:Vecto,11,1E,13,MARTIN MAC VIPER XIP,PROFILE MOVER,1/337,6
554876:C40:10:3A:Vecto,12,1E,11,MARTIN MAC VIPER XIP,PROFILE MOVER,1/407,6
17F15:C72:10:3A:Vecto,13,1E,9,MARTIN MAC VIPER XIP,PROFILE MOVER,2/1,6
97ED1B:D3A:10:3A:Vecto,14,1E,7,MARTIN MAC VIPER XIP,PROFILE MOVER,2/71,6
44C84C:D08:10:3A:Vecto,15,1E,5,MARTIN MAC VIPER XIP,PROFILE MOVER,2/141,6
790151:CD6:10:3A:Vecto,16,1E,3,MARTIN MAC VIPER XIP,PROFILE MOVER,2/211,6
5CC3C0:CA4:10:3A:Vecto,17,1E,1,MARTIN MAC VIPER XIP,PROFILE MOVER,2/281,6
351209:AC9:10:3A:Vecto,21,2E,13,MARTIN MAC VIPER XIP,PROFILE MOVER,2/351,7
6197A0:AFB:10:3A:Vecto,22,2E,11,MARTIN MAC VIPER XIP,PROFILE MOVER,2/421,7
869B4:B2D:10:3A:Vecto,23,2E,9,MARTIN MAC VIPER XIP,PROFILE MOVER,3/1,7
6C780D:BF5:10:3A:Vecto,24,2E,7,MARTIN MAC VIPER XIP,PROFILE MOVER,3/71,7
14C88F:BC3:10:3A:Vecto,25,2E,5,MARTIN MAC VIPER XIP,PROFILE MOVER,3/141,7
2B1011:B91:10:3A:Vecto,26,2E,3,MARTIN MAC VIPER XIP,PROFILE MOVER,3/211,7
696CAC:B5F:10:3A:Vecto,27,2E,1,MARTIN MAC VIPER XIP,PROFILE MOVER,3/281,7
5980C2:984:10:39:Vecto,31,3E,13,MARTIN MAC VIPER XIP,PROFILE MOVER,3/351,8
44CA8E:9B6:10:39:Vecto,32,3E,11,MARTIN MAC VIPER XIP,PROFILE MOVER,3/421,8
8B3A2A:9E8:10:3A:Vecto,33,3E,9,MARTIN MAC VIPER XIP,PROFILE MOVER,4/1,8
533266:AB0:10:3A:Vecto,34,3E,7,MARTIN MAC VIPER XIP,PROFILE MOVER,4/71,8
7C7BB6:A7E:10:3A:Vecto,35,3E,5,MARTIN MAC VIPER XIP,PROFILE MOVER,4/141,8
45D937:A4C:10:3A:Vecto,36,3E,3,MARTIN MAC VIPER XIP,PROFILE MOVER,4/211,8
243364:A1A:10:3A:Vecto,37,3E,1,MARTIN MAC VIPER XIP,PROFILE MOVER,4/281,8
8C41DB:83F:10:39:Vecto,41,4E,13,MARTIN MAC VIPER XIP,PROFILE MOVER,4/351,9
7A65BF:871:10:39:Vecto,42,4E,11,MARTIN MAC VIPER XIP,PROFILE MOVER,4/421,9
4CF9D4:8A3:10:39:Vecto,43,4E,9,MARTIN MAC VIPER XIP,PROFILE MOVER,5/1,9
7225D3:96B:10:39:Vecto,44,4E,7,MARTIN MAC VIPER XIP,PROFILE MOVER,5/71,9
88440F:939:10:39:Vecto,45,4E,5,MARTIN MAC VIPER XIP,PROFILE MOVER,5/141,9
848307:907:10:39:Vecto,46,4E,3,MARTIN MAC VIPER XIP,PROFILE MOVER,5/211,9
598EAA:8D5:10:39:Vecto,47,4E,1,MARTIN MAC VIPER XIP,PROFILE MOVER,5/281,9
72BDFB:C27:10:3A:Vecto,101,1E,12,GLP Impression X5,WASH MOVER,5/351,6
6AB91F:C59:10:3A:Vecto,102,1E,10,GLP Impression X5,WASH MOVER,5/383,6
8AE999:C8B:10:3A:Vecto,103,1E,8,GLP Impression X5,WASH MOVER,5/415,6
742C4:D21:10:3A:Vecto,104,1E,6,GLP Impression X5,WASH MOVER,5/447,6
462AE2:CEF:10:3A:Vecto,105,1E,4,GLP Impression X5,WASH MOVER,5/479,6
939980:CBD:10:3A:Vecto,106,1E,2,GLP Impression X5,WASH MOVER,6/1,6
8AF603:AE2:10:3A:Vecto,111,2E,12,GLP Impression X5,WASH MOVER,6/33,7
905B69:B14:10:3A:Vecto,112,2E,10,GLP Impression X5,WASH MOVER,6/65,7
85023A:B46:10:3A:Vecto,113,2E,8,GLP Impression X5,WASH MOVER,6/97,7
39DD57:BDC:10:3A:Vecto,114,2E,6,GLP Impression X5,WASH MOVER,6/129,7
63148:BAA:10:3A:Vecto,115,2E,4,GLP Impression X5,WASH MOVER,6/161,7
4A824E:B78:10:3A:Vecto,116,2E,2,GLP Impression X5,WASH MOVER,6/193,7
A5208:99D:10:39:Vecto,121,3E,12,GLP Impression X5,WASH MOVER,6/225,8
3AC31D:9CF:10:3A:Vecto,122,3E,10,GLP Impression X5,WASH MOVER,6/257,8
DBF75:A01:10:3A:Vecto,123,3E,8,GLP Impression X5,WASH MOVER,6/289,8
438942:A97:10:3A:Vecto,124,3E,6,GLP Impression X5,WASH MOVER,6/321,8
6218ED:A65:10:3A:Vecto,125,3E,4,GLP Impression X5,WASH MOVER,6/353,8
51B77E:A33:10:3A:Vecto,126,3E,2,GLP Impression X5,WASH MOVER,6/385,8
1669C4:858:10:39:Vecto,131,4E,12,GLP Impression X5,WASH MOVER,6/417,9
674FDF:88A:10:39:Vecto,132,4E,10,GLP Impression X5,WASH MOVER,6/449,9
4815D5:8BC:10:39:Vecto,133,4E,8,GLP Impression X5,WASH MOVER,6/481,9
96DF08:952:10:39:Vecto,134,4E,6,GLP Impression X5,WASH MOVER,7/1,9
2018FB:920:10:39:Vecto,135,4E,4,GLP Impression X5,WASH MOVER,7/33,9
4761BD:8EE:10:39:Vecto,136,4E,2,GLP Impression X5,WASH MOVER,7/65,9
8A946D:425:10:39:Vecto,201,DECK EDGE,9,GLP impression X5 Bar 1000,FOOTLIGHTS,7/97,5
2C5EF0:43E:10:39:Vecto,202,DECK EDGE,8,GLP impression X5 Bar 1000,FOOTLIGHTS,7/181,5
1A7A03:457:10:39:Vecto,203,DECK EDGE,7,GLP impression X5 Bar 1000,FOOTLIGHTS,7/265,5
